Search No,Source Folder,Source code,Summary of what was found,Detailed description of what was found,Source name,URLs extracted
01,01_Brand_Tier_Segmentation,S01-011,"P&G states that packaging must protect products, delight consumers, reduce plastic, create transportation efficiencies, and scale circularity through recyclable or reusable formats.","P&G’s ESG waste page states that superior packaging protects, ships, and supports product use, while new packaging solutions should delight consumers, reduce plastic, create transportation efficiencies, and reuse materials. It also describes progress through recycled plastic, lightweight designs, replacement of plastic with renewable materials, and recyclable/reusable packaging. This is directly relevant to the mass-market packaging track because it connects material selection to manufacturability, logistics, at-scale recyclability, and system feasibility—not only aesthetics.",ESG — Environmental — Waste — Procter & Gamble Investor Relations — https://www.pginvestor.com/esg/environmental/waste/default.aspx,https://www.pginvestor.com/esg/environmental/waste/default.aspx
01,01_Brand_Tier_Segmentation,S01-012,"Unilever’s plastics strategy emphasizes lighter packaging, recycled content, rigid-versus-flexible recyclability realities, reusable/refill models, and alternatives that work in practice and at scale.","Unilever reports progress against reusable, recyclable, or compostable packaging goals and distinguishes rigid and flexible plastic recyclability realities. It says it is reducing virgin plastic by using recycled plastic, designing lighter packaging, and scaling alternative materials and models that work in practice and at scale. This strongly supports the mass/consumer packaging track because it shows how a scaled consumer-goods company evaluates materials through operational recyclability, infrastructure compatibility, and deployment economics, often ahead of prestige-style sensory cues.",How Unilever Is Tackling Plastic Waste — Unilever — https://www.unilever.com/sustainability/plastics/,https://www.unilever.com/sustainability/plastics/
01,01_Brand_Tier_Segmentation,S01-013,"Aptar links mono-material dispensing systems with recyclability, showing why mass and consumer packs often favor material simplification.","Aptar’s Future pump is described as a polyethylene-only dispensing system developed so that the pump aligns with common bottle material streams. Aptar states that traditional pumps can contain multiple materials, including metal, which complicates recycling, while mono-material design makes the complete packaging easier to recycle. This supports the report’s material-selection implication that efficiency-led packaging programs should simplify component materiality, align closures with bottle streams, and reduce separation burdens. This is highly relevant for mass-market packs and for lightweighting pathways that must preserve high throughput and recycling compatibility.",Aptar Beauty Introduces Future: a Fully Recyclable Mono-Material Pump — Aptar — https://aptar.com/en-us/news-events/aptar-introduces-a-fully-recyclable-mono-material-pump,https://aptar.com/en-us/news-events/aptar-introduces-a-fully-recyclable-mono-material-pump
01,01_Brand_Tier_Segmentation,S01-014,"Bormioli Luigi shows that premium beauty still values decoration, refillability, and glass aesthetics, while combining those demands with lighter walls, improved weight-to-strength ratio, and PCR content.","Bormioli Luigi says leading beauty brands are embracing refillable bottles whose decorative elements underscore value and extended lifespan. It also says it is optimizing weight-to-strength ratio and glass composition, offering lighter, thinner-walled premium solutions while preserving design rituals and customization. This demonstrates that premium/luxe lightweighting is real, but differs from mass lightweighting: the solution must preserve prestige codes, decoration potential, formula compatibility, and long-life or refill value.",Bormioli Luigi Invests in Innovative Eco-Conscious Packaging — Bormioli Luigi — https://bormioliluigi.com/beauty/en/news/104/bormioli-luigi-invests-in-innovative-eco-conscious-packaging,https://bormioliluigi.com/beauty/en/news/104/bormioli-luigi-invests-in-innovative-eco-conscious-packaging
01,01_Brand_Tier_Segmentation,S01-015,"Quadpack links tactile finishes, emotional connection, craftsmanship, luxury codes, and eco-design, supporting the role of material feel and storytelling in premium packaging.","Quadpack’s BeautyWood 2026 release says wooden beauty packaging focuses on tactile finishes that create emotional connection, with forms aligned to luxury codes and eco-design principles. It also notes sustainably managed wood and waste-minimizing manufacturing methods. This source explains why premium packaging may use materials such as wood, glass-like plastics, decorative components, or metal accents: they communicate tactility, craftsmanship, and narrative value. It also shows how premium lightweighting may rely on premium-feel, lower-impact substitutions rather than straightforward downgauging.",Touch Flow Feel – the Sensory Appeal of Wood for Beauty — Quadpack — https://www.quadpack.com/assets/14383132/touch-flow-feel-the-sensory-appeal-of-wood-for-beauty/,https://www.quadpack.com/assets/14383132/touch-flow-feel-the-sensory-appeal-of-wood-for-beauty/
02,02_Current_Primary_Packaging_Materials,S02-001,"Berlin Packaging’s resin guide shows why PET, HDPE, LDPE, and PP form the mainstream rigid and squeezable-material baseline for beauty and personal care primary packs.","The source states that PET offers gloss, clarity, impact resistance, and is desirable for clear bottles and jars; LDPE is flexible and suitable for squeezable packaging such as shampoo, conditioners, and lotions; HDPE is widely used for extrusion-blown bottles because it is economical, impact resistant, and offers a moisture barrier; and PP provides moisture barrier and high-temperature stability. This supports using PET, HDPE, LDPE, and PP as baseline material families for later lightweighting comparisons in bottles, jars, tubes, and closures.",About Plastic Resins for Packaging — Berlin Packaging — https://www.berlinpackaging.com/about-plastic-resins/,https://www.berlinpackaging.com/about-plastic-resins/
02,02_Current_Primary_Packaging_Materials,S02-002,"APC Packaging confirms the current beauty primary-packaging material set: PP, PE, PET, PETG/PCTA/PCTG, PMMA/acrylic, AS/SAN, ABS, aluminum, and glass.","This source maps materials directly to cosmetic packaging use. It explains PP as heat and chemical resistant; PE as ranging from soft and flexible to hard and sturdy; PET as clear and chemically resistant; PETG/PCTA/PCTG as offering above-average chemical resistance and clarity compared with clarified PP; PMMA/acrylic as lightweight, shatter-resistant plastic glass commonly used as an outer jar or bottle; AS/SAN as rigid, strong, tough, and transparent; ABS as high-gloss, impact resistant, and easy to decorate; aluminum as luxurious and protective; and glass as highly chemically resistant with strong barrier properties. It supports the report’s format-material baseline and premium-versus-mass distinction.",Packaging Materials For Cosmetic Containers — APC Packaging — https://apcpackaging.com/custom-services/materials/,https://apcpackaging.com/custom-services/materials/
02,02_Current_Primary_Packaging_Materials,S02-003,Quadpack explains that PET injection molding enables greater wall thickness than blow molding to create rigid beauty packs with a luxurious look and feel.,"This source connects PET to premium-style execution rather than only mass-market packaging. Quadpack states that blow molding is used for thin-walled products, while injection molding allows greater wall thicknesses to create products with a luxurious look and feel. It also notes PET compatibility with many formulations and describes constraints when moving to rPET due to shape and aesthetic factors. This makes heavy-wall PET a major premium primary-packaging baseline and a likely lightweighting target.",The art of PET injection moulding — Quadpack — https://www.quadpack.com/assets/13873460/the-art-of-pet-injection-moulding/,https://www.quadpack.com/assets/13873460/the-art-of-pet-injection-moulding/
02,02_Current_Primary_Packaging_Materials,S02-004,"Quadpack’s Cloud Jars show that premium skincare jars still use heavy, thick-wall glass to deliver a high-end aesthetic.","Quadpack describes Cloud Jars as single-wall glass jars with a premium look, heavy glass construction, and thick-wall glass for a high-end finish. It also mentions compatibility with creams and moisturizers and multiple decoration options. This is strong evidence that heavy glass jars remain a current baseline in prestige skincare and represent a high-weight starting point for lightweight-material substitution analysis.",Cloud Jars — Quadpack — https://catalogue.quadpack.com/product/14128079/cloud-jars,https://catalogue.quadpack.com/product/14128079/cloud-jars
02,02_Current_Primary_Packaging_Materials,S02-005,"Ball’s Infinity aluminum bottle line confirms that aluminum bottles are used in beauty and personal care and can combine lightweighting, monomateriality, customization, and a premium aesthetic.","Ball states that its impact-extruded aluminum bottle line is customizable for beauty and personal care products, monomaterial, and lightweight, saving transport energy. The product positioning also frames aluminum bottles as sophisticated and high-end. This supports including aluminum bottles in the primary-packaging baseline for selected beauty and personal care applications, especially as a lighter alternative to glass with premium design cues.",A Circular Alternative to Plastic Packaging — Ball Corporation — https://investors.ball.com/news-presentations/press-releases/detail/165/a-circular-alternative-to-plastic-packaging,https://investors.ball.com/news-presentations/press-releases/detail/165/a-circular-alternative-to-plastic-packaging
02,02_Current_Primary_Packaging_Materials,S02-006,"Quadpack’s Trap PET Jar shows a common mixed-material jar architecture: PET jar, PP cap, and PE shive.","This source gives an explicit beauty jar bill of materials: jar in PET, cap in PP, and shive in PE. It also states that virgin PET is ideal for highlighting formula texture, while PCR PET is more convenient for solid-color applications such as supplements and nutricosmetics. This is strong evidence that many current jars are not mono-material and that PET/PP/PE combinations are common in beauty jars, which matters for both weight and recyclability trade-offs.",Trap PET Jar — Quadpack — https://catalogue.quadpack.com/product/13974131/trappet-jars,https://catalogue.quadpack.com/product/13974131/trappet-jars
02,02_Current_Primary_Packaging_Materials,S02-007,"Quadpack’s Regula Airless shows that premium-looking airless packs often combine multiple rigid plastics, including SAN, PET or rPET, and PP, plus a pump system.","Quadpack describes Regula Airless as popular among beauty brands because of its premium look and high-quality performance. It specifies a double-wall architecture with the outer bottle and cap in SAN, PET, or rPET and the inner in PP, plus a metal-free pump. This supports using multi-resin airless packs as a current baseline format for premium skincare and highlights where lightweighting or material simplification efforts may focus.",Regula Airless — Quadpack — https://catalogue.quadpack.com/pack-types/airless/14020807/regula-airless,https://catalogue.quadpack.com/pack-types/airless/14020807/regula-airless
02,02_Current_Primary_Packaging_Materials,S02-008,"Aptar’s GSA Advance shows a recyclable next-generation lotion pump made as an all-polyolefin system using PP and PE for skin care, personal care, and color cosmetics.","Aptar describes GSA Advance as an all-plastic lotion pump and all-polyolefin pump made from polypropylene and polyethylene, designed to maximize recyclability while maintaining performance and design options from premium to lifestyle. This clarifies dispenser material reality: many dispensers are multi-component systems, while the future direction is PP/PE-based mono-family construction aligned with bottle materials.",GSA Advance — Aptar Beauty — https://beauty.latamcatalog.aptar.com/en/product/gsaadvance/,https://beauty.latamcatalog.aptar.com/en/product/gsaadvance/
02,02_Current_Primary_Packaging_Materials,S02-009,"Silgan Dispensing states that conventional dispensers contain non-recyclable metals and materials and contrasts them with 100% polyolefin, no-metal-spring systems.","Silgan says its LifeCycle technology removes non-recyclable metals and materials used in conventional dispensers, enabling packs to be made nearly completely from a single polyolefin. It also says ReVive 2cc has no metal spring and improves compatibility with PET, HDPE, and PP bottle recycling, while Pearl 2 uses a patented plastic spring and 100% polyolefin design. This supports treating pumps and dispenser mechanisms as a distinct hotspot in lightweighting and mono-material redesign.",CMPL Expo 2026 — Silgan Dispensing Systems — https://silgandispensing.com/cmpl-expo/,https://silgandispensing.com/cmpl-expo/
02,02_Current_Primary_Packaging_Materials,S02-010,Gerresheimer’s cosmetic glass dropper catalogue confirms glass as a current standard for serum/oil droppers and provides actual pack weights by capacity.,"Gerresheimer lists cosmetic glass dropper bottles from 5 ml to 100 ml and shows weights rising from 20 g at 5 ml to 47 g at 30 ml, 55 g at 50 ml, and 100 g at 100 ml. This provides concrete evidence that glass droppers are weight-intensive primary packs and should be priority candidates for lightweighting analysis, especially in prestige skincare categories where glass droppers are common.",Dropper bottle for specialities made of moulded glass — Gerresheimer — https://www.gerresheimer.com/catalogue/products/cosmetics-fragrance/glass-packaging/others/dropper-bottles.html,https://www.gerresheimer.com/catalogue/products/cosmetics-fragrance/glass-packaging/others/dropper-bottles.html
02,02_Current_Primary_Packaging_Materials,S02-011,"APC Packaging’s mono-material dropper shows that traditional droppers are typically multi-material and often use glass, while APC’s redesign uses enhanced PP for both bottle and pipette.","APC states that typical market droppers are multi-material and non-recyclable and that its redesign replaces the usual glass-based approach with an enhanced polypropylene bottle and pipette that can be recycled as one unit. This supports using glass bottle plus mixed-material dropper as the current baseline and all-PP dropper systems as a lightweight, recyclability-oriented future benchmark.",Mono-Material Dropper with Bottle - Recycle Code 5 — APC Packaging — https://apcpackaging.com/mono-material-dropper/,https://apcpackaging.com/mono-material-dropper/
02,02_Current_Primary_Packaging_Materials,S02-012,"Berlin Packaging shows why squeeze tubes remain common in beauty and personal care: they are lightweight, durable, leak-resistant, portable, and easy to decorate.","Berlin says brands choose plastic squeeze tubes for durability, resistance to breakage and leakage, lightweighting, dispensing ease, product protection, shelf life, and customizable graphics. It also notes that recyclable mono-material toothpaste-style tubes use multiple layers of HDPE with EVOH rather than an aluminum foil layer, and that tube work can be done in mono-material PP or HDPE constructions. This supports PE/HDPE-based tubes as a mainstream lightweight route while flagging barrier-layer complexity as a design constraint.",The Latest Twists and Turns in Plastic Squeeze Tubes — Berlin Packaging — https://www.berlinpackaging.com/insights/product-categories/latest-twists-and-turns-in-plastic-squeeze-tubes,https://www.berlinpackaging.com/insights/product-categories/latest-twists-and-turns-in-plastic-squeeze-tubes
02,02_Current_Primary_Packaging_Materials,S02-013,ALLTUB confirms that aluminum squeeze tubes remain a mainstream option for cosmetics needing high barrier and hygiene.,"ALLTUB states that aluminum tubes have exceptional protective barrier properties, including airtightness, no ingress of light and UV rays, heat resistance, and corrosion resistance, and that they are widely used for pharmaceuticals, cosmetics, and foods. The companion market page adds that aluminum and laminate tubes are well-suited to sensitive and demanding cosmetic formulas. This places aluminum tubes in the high-protection, higher-material-intensity, premium or specialist-use portion of the tube-material baseline.",Aluminum squeeze tubes manufacturer — ALLTUB — https://www.alltub.com/en-us/products/aluminum-squeeze-tubes/,https://www.alltub.com/en-us/products/aluminum-squeeze-tubes/
02,02_Current_Primary_Packaging_Materials,S02-014,"Albéa’s Metamorphosis is described as a carton-based cosmetic tube where plastic is reduced and replaced with bio-based, certified paper-like material.","This source supports the paper-based primary-packaging baseline. Paper-based tubes remain a minority format compared with PE and laminate tubes, but Albéa’s product shows that paper-heavy cosmetic tubes are already commercialized as a current material pathway. It justifies including paper-based tubes as a secondary but relevant current baseline for later lightweighting and sustainability comparison, especially for brands exploring lower-plastic premium storytelling.",Metamorphosis Paper tube — Albéa — https://www.albea-group.com/products/metamorphosis-paper-tube,https://www.albea-group.com/products/metamorphosis-paper-tube
02,02_Current_Primary_Packaging_Materials,S02-015,APC’s color-cosmetics compact page shows that compact cases are commonly built from aesthetic rigid plastics such as ABS and SAN.,"APC lists the YYD3123 round compact as Compact ABS/SAN, confirming the use of these rigid plastics in compact shells. Combined with APC’s broader material guide, this supports using ABS-, SAN-, and PMMA-based compacts as the current baseline for face powders and similar formats in color cosmetics, with attention to decoration, clarity, and premium tactile feel rather than minimum weight.",YYD3123 | Round Compact — APC Packaging — https://apcpackaging.com/product/yyd3123-round-compact/,https://apcpackaging.com/product/yyd3123-round-compact/
02,02_Current_Primary_Packaging_Materials,S02-016,"Mondi’s mono-material StandUpPouch confirms that PE-based refill pouches are already current solutions for liquid soap and detergent refills, with optional EVOH or PCR depending on application and barrier need.","Mondi states that its pouch is a PE-based mono-material solution, recyclable where facilities exist, and can include EVOH or PCR depending on the application. It also says the pouch replaces non-recyclable laminates and is used for liquid soap and detergent refills. This supports using mono-PE refill pouches as a realistic lightweight baseline while recognizing that barrier add-ons such as EVOH can complicate material purity and recyclability.",Mono-material StandUpPouch — Mondi Group — https://www.mondigroup.com/products-and-solutions/flexible-packaging/mono-material-standuppouch/,https://www.mondigroup.com/products-and-solutions/flexible-packaging/mono-material-standuppouch/
02,02_Current_Primary_Packaging_Materials,S02-017,"Amcor’s AmPrima range shows that home and personal care refills are increasingly built in PE- and PP-format recycle-ready pouches that retain barrier, stiffness, seal strength, graphics performance, and high-speed runnability.","Amcor states that AmPrima is available in PE and PP formats, is designed to preserve the performance of traditional unrecyclable packaging, and can deliver up to 90% packaging weight reduction for refill products versus rigid containers. It also notes PCR-content options. This is strong evidence that flexible refill packs already form a current primary-packaging baseline in personal care and are central to material-based lightweighting.",AmPrima Recycle-Ready Packaging for home and personal care — Amcor — https://www.amcor.com/sustainability/products/amprima/emea/homeandpersonalcare,https://www.amcor.com/sustainability/products/amprima/emea/homeandpersonalcare
02,02_Current_Primary_Packaging_Materials,S02-018,"Amcor’s AmFiber page confirms that paper-based primary sachets are already used for single-use home and personal care applications such as face masks, serums, shampoo, and conditioner.","Amcor describes AmFiber as a curbside-recyclable paper-based sachet for difficult-to-hold aqueous products and explicitly names face masks, serums, shampoo, and conditioner. It highlights barrier protection, machinery compatibility, shelf appeal, and premiumization. This makes it a relevant baseline reference for paper-led primary packs in sample, single-dose, and travel-size beauty applications.",Product Sheet: AmFiber Paper-Based Home and Personal Care Sachets - North America — Amcor — https://www.amcor.com/insights/educational-resources/paperbased-hpc-sachets,https://www.amcor.com/insights/educational-resources/paperbased-hpc-sachets
03,03_Current_Secondary_Tertiary_Packaging_Materials,S03-001,Metsä Board shows that folding boxboard is a core secondary-packaging material in beautycare and is used for cartons as well as premium decorative effects.,"This source supports folding boxboard as a mainstream secondary-packaging substrate for cosmetics and personal care. It states that beautycare folding boxboards are suitable for multi-layer embossing, foil laminations, holograms, 3D special effects, high-quality printing on both sides, and sturdy packaging that creates an unboxing experience. For later lightweighting work, it helps distinguish standard lightweight paperboard use from premium paperboard use with added decorative treatments that can increase material intensity.",Beautycare — Paperboard end uses — Metsä Board — https://www.metsagroup.com/metsaboard/products-and-services/paperboard-applications/beautycare/,https://www.metsagroup.com/metsaboard/products-and-services/paperboard-applications/beautycare/
03,03_Current_Secondary_Tertiary_Packaging_Materials,S03-002,Stora Enso establishes folding boxboard as a mainstream material base for cosmetics and personal care while showing lighter-weight FBB as a market direction.,"This source supports the baseline for secondary packs built from folding carton board. It identifies Performa as a premium folding-boxboard family and describes Performa Lumi as a GC1 folding boxboard designed for premium visual impact and efficient material use, while also noting that the platform is robust yet lightweight. It also shows broader folding-carton options including luxury-board and brown-fiber board families, which is useful for comparing mass-market cartons, premium cartons, and material-efficient luxury-board options.",Premium folding carton boards for packaging — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/folding-cartons,https://www.storaenso.com/en/products/paperboard-materials/folding-cartons
03,03_Current_Secondary_Tertiary_Packaging_Materials,S03-003,Stora Enso provides an explicit SBS baseline for luxe beauty packaging and ties SBS to demanding finishes and tactile premium effects.,"This source identifies solid bleached sulfate as a luxury-board portfolio for high-end packaging, including cosmetics and perfumes. It says SBS boards are engineered for premium folding cartons and high-end packs, provides coated and uncoated SBS examples, and says these boards tolerate embossing, foil stamping, metallized foils, and other demanding finishing treatments while maintaining stiffness and sharp folds. This is strong evidence that premium/luxe beauty often uses high-spec SBS for secondary cartons when tactile feel, whiteness, print quality, and decorative finishing are central.",Coated and uncoated carton boards for luxury packaging — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/folding-cartons/carton-boards-for-luxury-packaging,https://www.storaenso.com/en/products/paperboard-materials/folding-cartons/carton-boards-for-luxury-packaging
03,03_Current_Secondary_Tertiary_Packaging_Materials,S03-004,"Smurfit Westrock shows that paperboard secondary packaging includes boxes, trays, and carton sleeves, not only standard tuck cartons.","This source supports mapping paperboard-based secondary formats. It states that folding cartons are part of a broader paperboard packaging portfolio that includes carton sleeves and multipack solutions, and that folding-carton systems can be delivered in different styles such as boxes and trays. It also notes that folding cartons can carry varnishes, foil-type embellishments, textured effects, window patches, and a range of board grades, making it useful for mapping mainstream and upgraded secondary formats before lightweighting evaluation.",Folding Cartons — Smurfit Westrock — https://www.smurfitwestrock.com/products/packaging/paperboard/folding-cartons,https://www.smurfitwestrock.com/products/packaging/paperboard/folding-cartons
03,03_Current_Secondary_Tertiary_Packaging_Materials,S03-005,Smurfit Westrock confirms coated recycled board as a current paperboard option for folding cartons and custom applications.,"This source supports the baseline for recycled paperboard in secondary beauty and personal-care packaging. It states that coated recycled board is made with recycled fibers and has a smooth clay coating that supports printability for folding cartons and custom applications. This is useful as a mass-market and scale-oriented baseline because it is paper-based, scalable, and often more aligned with lower-cost secondary packaging than rigid-box constructions.",Coated Recycled Board — Smurfit Westrock — https://www.smurfitwestrock.com/products/paper-and-board/paperboard/coated-recycled-board-crb,https://www.smurfitwestrock.com/products/paper-and-board/paperboard/coated-recycled-board-crb
03,03_Current_Secondary_Tertiary_Packaging_Materials,S03-006,WestRock provides a coated natural kraft paperboard baseline for secondary packaging.,"The source identifies coated natural kraft paperboard as a current board option and states that it delivers crisp graphics while retaining the natural-kraft substrate character. For baseline purposes, CNK is relevant where brands want a natural or rustic premium look without moving to much heavier rigid formats. It should be included as a paperboard alternative to SBS and CRB when appearance, strength, and material positioning differ.",Coated Natural Kraft Paperboard — WestRock — https://www.westrock.com/products/paperboard/customkote,https://www.westrock.com/products/paperboard/customkote
03,03_Current_Secondary_Tertiary_Packaging_Materials,S03-007,"GPA Global’s Sugarpill case shows a premium/luxe rigid-box construction using rigid greyboard, decorative outer wrap, film treatment, foil, magnets, and ribbon.","This is strong evidence for the premium/luxe secondary-packaging baseline. The case states that the pack used a rigid greyboard structure, wrapped exterior paper, soft-touch film coating, foils, spot UV, concealed magnets, and a ribbon lift. For later lightweighting work, this type of pack is a material-intensive target because the structural board, decorative wrap, closure hardware, and embellishments all layer material and weight onto a non-primary beauty package.",Sugarpill 10th Anniversary Collection — GPA Global — https://www.gpaglobal.net/packaging/case-studies/sugarpill-10th-anniversary-collection/,https://www.gpaglobal.net/packaging/case-studies/sugarpill-10th-anniversary-collection/
