Patent code,Summary of what was found,Detailed patent mapping,Source name
"P04-011","Tetra Laval has a 2024 family on using paper substrate itself as a gas-barrier material with stretchability, low roughness, and thin gas-barrier coatings, showing paper properties plus coating synergy as an active claim theme.","Publication family: EP4353902A1. Assignee: Tetra Laval Holdings & Finance S.A. Priority year: 2022. Filing year: 2023. Publication year: 2024. Jurisdiction: EP. Legal status: pending per Google Patents. Component: paper substrate, coated paper substrate, laminated packaging material. Material route: cellulose-fiber paper substrate optionally base-coated/impregnated with thin gas-barrier coating such as PVOH and optional vapor-deposited metal/oxide layers. Claimed invention: stretchable, low-roughness paper substrate configured to contribute gas barrier in laminates. Problem solved: barrier loss after forming/folding and difficulty obtaining durable oxygen barrier from paper-rich laminates. Cosmetic relevance: fragrance-sensitive sachets, coated cards, paper-rich refill packs, and barrier sleeves if aroma/OTR robustness is needed. Premium vs mass-market fit: premium/innovation-led first; complex for commodity cartons. Mapped topics: S15, S17, S20. IP risk signal: High patent density / FTO review recommended. White-space note: less room in engineered paper-substrate-as-barrier territory; more in simpler non-foil secondary carton systems. Caution: beverage/oxygen-sensitive-product orientation; cosmetics require aroma, oil, alcohol, and fold-crack testing.","Use of a paper substrate, the barrier-coated paper substrate, a laminated packaging material and packaging container comprising it — Google Patents — https://patents.google.com/patent/EP4353902A1/en"
"P04-012","Tetra Laval has a 2024 family on barrier-coated fibrous cellulose substrate with dispersion-coated gas-barrier layer, optional vapor deposition, and heat-sealable laminated materials, reinforcing dense IP in non-foil barrier paper laminates.","Publication family: EP4461873A1. Assignee: Tetra Laval Holdings & Finance S.A. Priority year: 2023. Filing year: 2024. Publication year: 2024. Jurisdiction: EP. Legal status: pending per Google Patents. Component: barrier-coated fibrous cellulose substrate and laminated packaging material. Material route: fibrous cellulose substrate plus first gas-barrier dispersion coating plus optional vapor-deposited barrier coating; heat-sealable laminate constructions. Claimed invention: improved barrier-coated cellulose substrate laminated into heat-sealable packaging materials. Problem solved: oxygen-barrier performance and robustness in paper-rich laminates while preserving heat-sealability. Cosmetic relevance: paper-based sachets, reserve packs, premium inserts, coated paper/fiber packs requiring higher barrier. Premium vs mass-market fit: premium/advanced-material route more than immediate commodity route. Mapped topics: S13, S17, S20. IP risk signal: Recent active filings / higher caution; high density. White-space note: lower-severity cosmetic barrier applications may retain more room than high-barrier sealed laminate systems. Caution: direct-contact oily/fragranced cosmetic performance not proven by patent alone.","Barrier-coated fibrous cellulose substrate and laminated packaging material — Google Patents — https://patents.google.com/patent/EP4461873A1/en"
"P04-013","Ahlstrom has a 2024 PCT family on oxygen-barrier paper built around high carboxymethyl cellulose coating content, signaling cellulose-derivative barrier chemistry on paper.","Publication family: WO2024033268A1. Assignee: Ahlstrom Corp. Priority year: 2022. Filing year: 2023. Publication year: 2024. Jurisdiction: WO/PCT. Legal status: ceased per Google Patents. Component: barrier paper as packaging material. Material route: cellulosic base paper plus coating layer containing 80-100 wt% carboxymethyl cellulose on dry basis. Claimed invention: oxygen-barrier paper largely cellulose-based and directionally biodegradable/compostable. Problem solved: improving oxygen barrier while keeping predominantly cellulosic system. Cosmetic relevance: dry sample sachets, paper labels/sleeves needing oxygen barrier, fragrance cards with caution, and selected coated inserts; limited for wet/oily/alcoholic direct contact. Premium vs mass-market fit: mass-market secondary and non-contact use more than premium direct-contact. Mapped topics: S17, S19. IP risk signal: Moderate patent density / monitor claims; supplier-owned route. White-space note: cosmetic-specific aroma/oil barrier adaptations may remain because this is oxygen-centric. Caution: Google ceased label is not legal conclusion; oxygen barrier alone is insufficient for many cosmetics.","Barrier paper with high oxygen barrier properties — Google Patents — https://patents.google.com/patent/WO2024033268A1/en"
"P04-014","Ahlstrom has a parchment-paper family using a non-continuous water-soluble or water-dispersible polymer coating at very low coat weights to improve oxygen barrier, signaling coat-weight-efficient paper barriers.","Publication family: EP4321682A1. Assignee: Ahlstrom Corp. Priority year: 2022. Filing year: 2022. Publication year: 2024. Jurisdiction: EP. Legal status: withdrawn per Google Patents. Component: parchment-paper barrier paper. Material route: parchment base plus non-continuous coating of water-soluble and/or water-dispersible polymer; examples around 0.05-1.5 g/m2 coating. Claimed invention: parchment-based barrier paper with improved O2 performance using very low coating amounts. Problem solved: higher barrier at lower coat weight and processing intensity than thicker multilayer alternatives. Cosmetic relevance: dry sachets, folded sample cards, overwraps, and low-barrier secondary paper; weak for wet/oily/fragrance/alcohol-rich packs. Premium vs mass-market fit: mass-market or technical-inner-pack route. Mapped topics: S13, S17. IP risk signal: Moderate patent density / monitor claims. White-space note: thin-coat oxygen-barrier paper for non-contact beauty applications may still have space. Caution: withdrawn status means inclusion is for mapping value, not implementation comfort.","Parchment paper with high oxygen barrier properties — Google Patents — https://patents.google.com/patent/EP4321682A1/de"
"P04-015","Ahlstrom has a 2025 family on low-MVTR coated paper using wax plus styrene-butadiene and/or styrene-acrylic copolymer, relevant to wipes, soap wraps, dry sachets, and moisture-sensitive secondary packs.","Publication family: EP4528027A1. Assignee: Ahlstrom Corp. Priority year: 2023. Filing year: 2024. Publication year: 2025. Jurisdiction: EP. Legal status: withdrawn per Google Patents. Component: coated paper packaging material. Material route: paper substrate optionally pre-coated then coated with wax plus styrene-butadiene and/or styrene-acrylic copolymer; optional grease-barrier precursor layers. Claimed invention: low moisture vapor transmission rate paper packaging material and method. Problem solved: moisture barrier on fiber packaging without thicker laminates. Cosmetic relevance: personal-care wipes packs, dry mask sachets, soap/carton overwrap, and coated secondary paper; not proven for oils/fragrances/alcohol-heavy formulas. Premium vs mass-market fit: stronger mass-market functional route than luxe route. Mapped topics: S13, S17, S20. IP risk signal: Recent active filings / higher caution, despite withdrawn status. White-space note: cosmetic-specific moisture-barrier papers avoiding same wax/SB-acrylic balance may remain. Caution: withdrawn status reduces claim-reach certainty but still signals R&D direction.","Low moisture vapor transmission rate packaging material — Google Patents — https://patents.google.com/patent/EP4528027A1/en"
"P04-016","Sappi has a 2024 high-performance barrier-paper family targeting tropical-condition barrier stability, low hygroexpansion, inorganic barrier layers, and polymer overcoats.","Publication family: EP4428300A1. Assignee: Sappi Papier Holding GmbH / Sappi Netherlands B.V. Priority year: 2023. Filing year: 2023. Publication year: 2024. Jurisdiction: EP. Legal status: pending per Google Patents. Component: barrier paper / barrier packaging materials. Material route: paper-based substrate with base paper plus two polymeric overcoat layers, inorganic barrier layer, and optional protective polymer layer; WVTR/OTR and low-hygroexpansion requirements. Claimed invention: high-barrier paper with controlled dimensional stability so deposited barrier layer survives humidity and handling. Problem solved: paper movement and humidity sensitivity that crack/damage high-performance barrier coatings. Cosmetic relevance: premium skincare, masks, wipes, fragranced sachets, and high-value secondary paper packs where humidity or shelf life matter. Premium vs mass-market fit: premium or dermocosmetic stronger than low-cost mass. Mapped topics: S15, S17, S20. IP risk signal: Moderate to high patent density / monitor claims; supplier-owned route. White-space note: simpler non-inorganic coated boards may have more room than stabilized inorganic-barrier papers. Caution: technically demanding route; cost/process practicality needs screening.","Barrier papers — Google Patents — https://patents.google.com/patent/EP4428300A1/en"
"P04-017","Sappi has a later-published barrier-paper/board family around pulp-based substrate layers, aqueous barrier compositions, moisture-controlled drying, and repulpable thin barrier formation.","Publication family: EP4481113A2. Assignee: Sappi Papier Holding GmbH / Sappi Netherlands Services B.V. Priority year: 2020. Filing year: 2021. Publication year: 2024. Jurisdiction: EP. Legal status: pending per Google Patents. Component: barrier paper or board. Material route: pulp-based substrate layers coated with low-amount aqueous barrier compositions and controlled drying to low residual moisture. Claimed invention: barrier paper/board using light, thin, waterborne barrier layers that can replace plastic-film or metal-layer products while remaining repulpable. Problem solved: functional WVTR/OTR without thick multilayer structures. Cosmetic relevance: lighter coated cartons, sleeves, inserts, and some paper-rich sachet/wrap structures. Premium vs mass-market fit: broad relevance but easier in mass-market secondary packs than luxe direct-contact applications. Mapped topics: S15, S17, S20. IP risk signal: Moderate patent density / monitor claims; older-priority family with post-2022 publication. White-space note: decorative premium cartonboard and cosmetic-specific lower-barrier boards may retain space. Caution: broad barrier-board area requires overlap review.","Barrier paper or board — Google Patents — https://patents.google.com/patent/EP4481113A2/de"
"P04-018","Stora Enso has a 2025 Swedish publication on biodegradable laminate for aseptic packaging using PHA dispersion-coated primer, vacuum-deposited barrier, and heat-sealable PHA layers, indicating bio-based fiber laminates entering patent activity.","Publication family: SE2330312A1. Assignee: Stora Enso Oyj. Priority year: 2023. Filing year: 2023. Publication year: 2025. Jurisdiction: SE. Component: biodegradable laminate for paperboard packaging. Material route: biodegradable base board plus PHA dispersion-coated primer 0.5-15 g/m2 plus 20-500 nm vacuum-deposited barrier layer plus one or more extrusion-coated heat-sealable PHA layers 5-25 g/m2. Claimed invention: fiber-based biodegradable laminate with deposited barrier and PHA sealant/structural layers. Problem solved: replacing fossil polymer/foil laminate with biodegradable board-based laminate. Cosmetic relevance: premium paper-rich refill cartons, rigid paper shells, premium sachet webs, or innovation pilots; likely over-specified for most beauty uses. Premium vs mass-market fit: premium/pilot/monitor rather than mass-market first wave. Mapped topics: S17, S19, S20. IP risk signal: Recent active filings / higher caution; supplier-owned route. White-space note: simpler bio-based cosmetic secondary packaging without aseptic-level performance demands may remain. Caution: cosmetics transfer faces cost, heat-seal, compatibility, and recyclability questions.","A biodegradable laminate for aseptic packaging — Google Patents — https://patents.google.com/patent/SE2330312A1/en"
"P04-019","P&G has a family claiming biodegradable and recyclable barrier paper laminates for pouches, sachets, bags, and product-delivery systems, a live IP signal for paper-laminate sachet architectures.","Publication family: US11913173B2; US20220112663A1. Assignee: The Procter & Gamble Company. Priority year: 2020. Filing year: 2021. Publication year: 2022 application and 2024 grant. Jurisdiction: US. Legal status: active granted family per Google Patents. Component: biodegradable and recyclable barrier paper laminate for flexible packs. Material route: biodegradable/recyclable paper layer plus biodegradable polymeric layer plus biodegradable primer layers plus inorganic barrier layer plus biodegradable sealing layer. Claimed invention: flexible paper laminate for pouches/sachets/bags with barrier properties and consumer-facing non-plastic character. Problem solved: paper-laminate flexible packs with better barrier and recyclability than prior paper alternatives. Cosmetic relevance: cosmetic sample sachets, reserve packs, unit-dose wipe/serum packets, and paper-rich refill pouches. Premium vs mass-market fit: mass/masstige and sample-format relevance with premium storytelling potential. Mapped topics: S13, S17, S19. IP risk signal: High patent density / FTO review recommended; brand-owned route / competitor-specific caution. White-space note: lower-barrier, non-window, non-multicompartment cosmetic constructions may have more room. Caution: older priority included due to 2024 grant; recyclability is stream-dependent.","Biodegradable and recyclable barrier paper laminate — Google Patents — https://patents.google.com/patent/US20220112663A1/en"
"P04-020","Landscape synthesis: recent paper-based cosmetic lightweighting patents split into paper-rich flexible laminates, coated cartonboard, oxygen/moisture-barrier paper chemistry, vapor-deposited/inorganic barrier papers, and bio-based fiber laminates.","Consolidated mapping note. Most crowded clusters: Tetra barrier-coated cellulose laminate families, Amcor paper-flex high-barrier sealable film, and P&G/Nestlé paper-laminate sachet/pouch families. Supplier-controlled zones: WestRock aqueous/high-barrier cellulosics, Billerud flow-wrap and heat-sealable paper, Ahlstrom oxygen/moisture barrier papers, and Sappi high-performance barrier papers. Likely white space: lower-barrier cosmetic secondary cartons, paper sleeves and inserts, dry-product sachets, non-direct-contact coated fiber, lower-complexity paperboard with light coatings and recyclable decoration, and premium tactile cartons with modest barrier needs. Higher-caution zones: direct-contact wet/oily/fragranced paper sachets, vapor-deposited or metallized paper laminates, paper-based hermetic refill pouches, and aseptic-style bio-based laminates. Mapped topics: strongest to S17 and S13, then S15 and S19, with S20 for implementation and cost gating. Caution: patent landscape mapping only, not FTO opinion; Google legal-status fields are informational; some families have older priorities but qualifying post-2022 publications/grants.","Landscape synthesis from cited patent families — Google Patents / WIPO records summarized from rows P04-001 to P04-019"
